Date,Value
2018-03-31,65.0476
2018-02-28,64.43
2018-01-31,63.6452
2017-12-31,64.2445
2017-11-30,64.8435
2017-10-31,65.0357
2017-09-30,64.4775
2017-08-31,63.9683
2017-07-31,64.424
2017-06-30,64.4482
2017-05-31,64.4195
2017-04-30,64.536
2017-03-31,65.8009
2017-02-28,66.9726
2017-01-31,68.0474
2016-12-31,67.8052
2016-11-30,67.6395
2016-10-31,66.7415
2016-09-30,66.7138
2016-08-31,66.9035
2016-07-31,67.158
2016-06-30,67.2655
2016-05-31,66.8895
2016-04-30,66.4219
2016-03-31,66.8909
2016-02-29,68.2395
2016-01-31,67.3332
2015-12-31,66.5023
2015-11-30,66.1
2015-10-31,65.0262
2015-09-30,66.1667
2015-08-31,65.0971
2015-07-31,63.6045
2015-06-30,63.7809
2015-05-31,63.715
2015-04-30,62.6414
2015-03-31,62.4805
2015-02-28,61.9905
2015-01-31,62.13
2014-12-31,62.7071
2014-11-30,61.6828
2014-10-31,61.3668
2014-09-30,60.8976
2014-08-31,60.8738
2014-07-31,60.0956
2014-06-30,59.7367
2014-05-31,59.2843
2014-04-30,60.3464
2014-03-31,60.9476
2014-02-28,62.1642
2014-01-31,62.1057
2013-12-31,61.811
2013-11-30,62.5179
2013-10-31,61.6059
2013-09-30,63.648
2013-08-31,62.8109
2013-07-31,59.7609
2013-06-30,58.3835
2013-05-31,54.9845
2013-04-30,54.3236
2013-03-31,54.4229
2013-02-28,53.8079
2013-01-31,54.229
2012-12-31,54.647
2012-11-30,54.7845
2012-10-31,53.0995
2012-09-30,54.35
2012-08-31,55.4935
2012-07-31,55.4248
2012-06-30,55.9424
2012-05-31,54.3314
2012-04-30,51.69
2012-03-31,50.3635
2012-02-29,49.1812
2012-01-31,51.0015
2011-12-31,52.3824
2011-11-30,50.6785
2011-10-31,49.202
2011-09-30,47.6905
2011-08-31,45.3135
2011-07-31,44.396
2011-06-30,44.8109
2011-05-31,44.9024
2011-04-30,44.301
2011-03-31,44.9143
2011-02-28,45.3795
2011-01-31,45.375
2010-12-31,45.1
2010-11-30,44.9315
2010-10-31,44.354
2010-09-30,45.8729
2010-08-31,46.4605
2010-07-31,46.7617
2010-06-30,46.4983
2010-05-31,45.769
2010-04-30,44.444
2010-03-31,45.4509
2010-02-28,46.2732
2010-01-31,45.8944
2009-12-31,46.5273
2009-11-30,46.5305
2009-10-31,46.6524
2009-09-30,48.2924
2009-08-31,48.2426
2009-07-31,48.3624
